"value"	"Analysis_type"	"Comparison"
"212"	"Pla2g4a"	"tiling"	"i_vs_rest"
"213"	"Tsen15"	"tiling"	"i_vs_rest"
"214"	"Nmnat2"	"tiling"	"i_vs_rest"
"215"	"Gm9530"	"tiling"	"i_vs_rest"
"216"	"Ralgps2"	"tiling"	"i_vs_rest"
"217"	"Rasal2"	"tiling"	"i_vs_rest"
"218"	"Astn1"	"tiling"	"i_vs_rest"
"219"	"Rabgap1l"	"tiling"	"i_vs_rest"
"220"	"Fasl"	"tiling"	"i_vs_rest"
"221"	"F5"	"tiling"	"i_vs_rest"
"222"	"Gm4846"	"tiling"	"i_vs_rest"
"223"	"Lrrc52"	"tiling"	"i_vs_rest"
"224"	"Mir6354"	"tiling"	"i_vs_rest"
"225"	"Slamf1"	"tiling"	"i_vs_rest"
"226"	"Vangl2"	"tiling"	"i_vs_rest"
"227"	"Fcer1a"	"tiling"	"i_vs_rest"
"228"	"Cadm3"	"tiling"	"i_vs_rest"
"229"	"Olfr417"	"tiling"	"i_vs_rest"
"230"	"Rgs7"	"tiling"	"i_vs_rest"
"231"	"Desi2"	"tiling"	"i_vs_rest"
"232"	"Lin9"	"tiling"	"i_vs_rest"
"233"	"Ephx1"	"tiling"	"i_vs_rest"
"234"	"Enah"	"tiling"	"i_vs_rest"
"235"	"Degs1"	"tiling"	"i_vs_rest"
"236"	"1700056E22Rik"	"tiling"	"i_vs_rest"
"237"	"D1Pas1"	"tiling"	"i_vs_rest"
"238"	"Esrrg"	"tiling"	"i_vs_rest"
"239"	"Ush2a"	"tiling"	"i_vs_rest"
"240"	"Flvcr1"	"tiling"	"i_vs_rest"
"241"	"Batf3"	"tiling"	"i_vs_rest"
"242"	"Ints7"	"tiling"	"i_vs_rest"
"243"	"Usp6nl"	"tiling"	"i_vs_rest"
"244"	"Celf2"	"tiling"	"i_vs_rest"
"245"	"1700061F12Rik"	"tiling"	"i_vs_rest"
"246"	"Sfmbt2"	"tiling"	"i_vs_rest"
"247"	"Prkcq"	"tiling"	"i_vs_rest"
"248"	"Itga8"	"tiling"	"i_vs_rest"
"249"	"Malrd1"	"tiling"	"i_vs_rest"
"250"	"Nebl"	"tiling"	"i_vs_rest"
"251"	"Dnajc1"	"tiling"	"i_vs_rest"
"252"	"Carlr"	"tiling"	"i_vs_rest"
"253"	"Hnmt"	"tiling"	"i_vs_rest"
"254"	"Traf2"	"tiling"	"i_vs_rest"
"255"	"Obp2b"	"tiling"	"i_vs_rest"
"256"	"Nacc2"	"tiling"	"i_vs_rest"
"257"	"Adamts13"	"tiling"	"i_vs_rest"
"258"	"Olfm1"	"tiling"	"i_vs_rest"
"259"	"Cfap77"	"tiling"	"i_vs_rest"
"260"	"Ntng2"	"tiling"	"i_vs_rest"
"261"	"C230014O12Rik"	"tiling"	"i_vs_rest"
"262"	"Gsn"	"tiling"	"i_vs_rest"
"263"	"Ttll11"	"tiling"	"i_vs_rest"
"264"	"Olfr360"	"tiling"	"i_vs_rest"
"265"	"Olfr368"	"tiling"	"i_vs_rest"
"266"	"Nek6"	"tiling"	"i_vs_rest"
"267"	"Lrp1b"	"tiling"	"i_vs_rest"
"268"	"Gtdc1"	"tiling"	"i_vs_rest"
"269"	"Zeb2"	"tiling"	"i_vs_rest"
"270"	"Acvr2a"	"tiling"	"i_vs_rest"
"271"	"Mbd5"	"tiling"	"i_vs_rest"
"272"	"Lypd6"	"tiling"	"i_vs_rest"
"273"	"Rnd3"	"tiling"	"i_vs_rest"
"274"	"1700057H21Rik"	"tiling"	"i_vs_rest"
"275"	"Rprm"	"tiling"	"i_vs_rest"
"276"	"Galnt13"	"tiling"	"i_vs_rest"
"277"	"Kcnj3"	"tiling"	"i_vs_rest"
"278"	"Tanc1"	"tiling"	"i_vs_rest"
"279"	"Itgb6"	"tiling"	"i_vs_rest"
"280"	"Slc4a10"	"tiling"	"i_vs_rest"
"281"	"Fign"	"tiling"	"i_vs_rest"
"282"	"Grb14"	"tiling"	"i_vs_rest"
"283"	"Scn1a"	"tiling"	"i_vs_rest"
"284"	"Cers6"	"tiling"	"i_vs_rest"
"285"	"Mettl5"	"tiling"	"i_vs_rest"
"286"	"Cdca7"	"tiling"	"i_vs_rest"
"287"	"6430710C18Rik"	"tiling"	"i_vs_rest"
"288"	"Sp3"	"tiling"	"i_vs_rest"
"289"	"Lnpk"	"tiling"	"i_vs_rest"
"290"	"Mtx2"	"tiling"	"i_vs_rest"
"291"	"Ttn"	"tiling"	"i_vs_rest"
"292"	"Prdx6b"	"tiling"	"i_vs_rest"
"293"	"Nup35"	"tiling"	"i_vs_rest"
"294"	"Ctnnd1"	"tiling"	"i_vs_rest"
"295"	"Slc43a3"	"tiling"	"i_vs_rest"
"296"	"Olfr1154"	"tiling"	"i_vs_rest"
"297"	"Nup160"	"tiling"	"i_vs_rest"
"298"	"Slc35c1"	"tiling"	"i_vs_rest"
"299"	"Hsd17b12"	"tiling"	"i_vs_rest"
"300"	"Lrrc4c"	"tiling"	"i_vs_rest"
"301"	"Pamr1"	"tiling"	"i_vs_rest"
"302"	"Ehf"	"tiling"	"i_vs_rest"
"303"	"D430041D05Rik"	"tiling"	"i_vs_rest"
"304"	"Cstf3"	"tiling"	"i_vs_rest"
"305"	"Kcna4"	"tiling"	"i_vs_rest"
"306"	"Fmn1"	"tiling"	"i_vs_rest"
"307"	"Gm13985"	"tiling"	"i_vs_rest"
"308"	"Ino80"	"tiling"	"i_vs_rest"
"309"	"Rtf1"	"tiling"	"i_vs_rest"
"310"	"Slc28a2"	"tiling"	"i_vs_rest"
"311"	"Sqor"	"tiling"	"i_vs_rest"
"312"	"Shc4"	"tiling"	"i_vs_rest"
"313"	"Atp8b4"	"tiling"	"i_vs_rest"
"314"	"Sppl2a"	"tiling"	"i_vs_rest"
"315"	"F830045P16Rik"	"tiling"	"i_vs_rest"
"316"	"Tmc2"	"tiling"	"i_vs_rest"
"317"	"Erv3"	"tiling"	"i_vs_rest"
"318"	"Mir3090"	"tiling"	"i_vs_rest"
"319"	"Ankef1"	"tiling"	"i_vs_rest"
"320"	"Snap25"	"tiling"	"i_vs_rest"
"321"	"Sptlc3"	"tiling"	"i_vs_rest"
"322"	"Tasp1"	"tiling"	"i_vs_rest"
"323"	"Pcsk2"	"tiling"	"i_vs_rest"
"324"	"Scp2d1"	"tiling"	"i_vs_rest"
"325"	"Slc24a3"	"tiling"	"i_vs_rest"
"326"	"4933406D12Rik"	"tiling"	"i_vs_rest"
"327"	"Kiz"	"tiling"	"i_vs_rest"
"328"	"Syndig1"	"tiling"	"i_vs_rest"
"329"	"Rbck1"	"tiling"	"i_vs_rest"
"330"	"Cdk5rap1"	"tiling"	"i_vs_rest"
"331"	"Chmp4b"	"tiling"	"i_vs_rest"
"332"	"Itch"	"tiling"	"i_vs_rest"
"333"	"Cnbd2"	"tiling"	"i_vs_rest"
"334"	"Dlgap4"	"tiling"	"i_vs_rest"
"335"	"Tgif2"	"tiling"	"i_vs_rest"
"336"	"Samhd1"	"tiling"	"i_vs_rest"
"337"	"Dhx35"	"tiling"	"i_vs_rest"
"338"	"4933416E03Rik"	"tiling"	"i_vs_rest"
"339"	"Mafb"	"tiling"	"i_vs_rest"
"340"	"Ptprt"	"tiling"	"i_vs_rest"
"341"	"Ncoa5"	"tiling"	"i_vs_rest"
