"value"	"Analysis_type"	"Comparison"
"3597"	"Pigg"	"tiling200"	"i_vs_rest"
"3598"	"Vmn2r9"	"tiling200"	"i_vs_rest"
"3599"	"Vmn2r13"	"tiling200"	"i_vs_rest"
"3600"	"Vmn2r16"	"tiling200"	"i_vs_rest"
"3601"	"Crlf2"	"tiling200"	"i_vs_rest"
"3602"	"Gm10416"	"tiling200"	"i_vs_rest"
"3603"	"Zfp605"	"tiling200"	"i_vs_rest"
"3604"	"Fbrsl1"	"tiling200"	"i_vs_rest"
"3605"	"A630023P12Rik"	"tiling200"	"i_vs_rest"
"3606"	"Galnt9"	"tiling200"	"i_vs_rest"
"3607"	"Pus1"	"tiling200"	"i_vs_rest"
"3608"	"E130006D01Rik"	"tiling200"	"i_vs_rest"
"3609"	"1700028D13Rik"	"tiling200"	"i_vs_rest"
"3610"	"Srrd"	"tiling200"	"i_vs_rest"
"3611"	"Sez6l"	"tiling200"	"i_vs_rest"
"3612"	"Grk3"	"tiling200"	"i_vs_rest"
"3613"	"Crybb2"	"tiling200"	"i_vs_rest"
"3614"	"2900026A02Rik"	"tiling200"	"i_vs_rest"
"3615"	"Sgsm1"	"tiling200"	"i_vs_rest"
"3616"	"Mir7229"	"tiling200"	"i_vs_rest"
"3617"	"Wscd2"	"tiling200"	"i_vs_rest"
"3618"	"Cmklr1"	"tiling200"	"i_vs_rest"
"3619"	"1700069L16Rik"	"tiling200"	"i_vs_rest"
"3620"	"Ficd"	"tiling200"	"i_vs_rest"
"3621"	"Tmem119"	"tiling200"	"i_vs_rest"
"3622"	"Ssh1"	"tiling200"	"i_vs_rest"
"3623"	"Acacb"	"tiling200"	"i_vs_rest"
"3624"	"Foxn4"	"tiling200"	"i_vs_rest"
"3625"	"Myo1h"	"tiling200"	"i_vs_rest"
"3626"	"Mvk"	"tiling200"	"i_vs_rest"
"3627"	"Fam222a"	"tiling200"	"i_vs_rest"
"3628"	"Trpv4"	"tiling200"	"i_vs_rest"
"3629"	"Git2"	"tiling200"	"i_vs_rest"
"3630"	"Ankrd13a"	"tiling200"	"i_vs_rest"
"3631"	"4930519G04Rik"	"tiling200"	"i_vs_rest"
"3632"	"Oasl1"	"tiling200"	"i_vs_rest"
"3633"	"Hnf1a"	"tiling200"	"i_vs_rest"
"3634"	"Sppl3"	"tiling200"	"i_vs_rest"
"3635"	"Cabp1"	"tiling200"	"i_vs_rest"
"3636"	"Coq5"	"tiling200"	"i_vs_rest"
"3637"	"Gm13830"	"tiling200"	"i_vs_rest"
"3638"	"Sirt4"	"tiling200"	"i_vs_rest"
"3639"	"Pxn"	"tiling200"	"i_vs_rest"
"3640"	"Gcn1l1"	"tiling200"	"i_vs_rest"
"3641"	"Cit"	"tiling200"	"i_vs_rest"
"3642"	"C330018A13Rik"	"tiling200"	"i_vs_rest"
"3643"	"Ccdc60"	"tiling200"	"i_vs_rest"
"3644"	"Srrm4"	"tiling200"	"i_vs_rest"
"3645"	"Suds3"	"tiling200"	"i_vs_rest"
"3646"	"Taok3"	"tiling200"	"i_vs_rest"
"3647"	"Ksr2"	"tiling200"	"i_vs_rest"
"3648"	"Rnft2"	"tiling200"	"i_vs_rest"
"3649"	"2410131K14Rik"	"tiling200"	"i_vs_rest"
"3650"	"Med13l"	"tiling200"	"i_vs_rest"
"3651"	"1700081H04Rik"	"tiling200"	"i_vs_rest"
"3652"	"Gm7538"	"tiling200"	"i_vs_rest"
"3653"	"Tbx5"	"tiling200"	"i_vs_rest"
"3654"	"Rbm19"	"tiling200"	"i_vs_rest"
"3655"	"Lhx5"	"tiling200"	"i_vs_rest"
"3656"	"Slc8b1"	"tiling200"	"i_vs_rest"
"3657"	"Oas1f"	"tiling200"	"i_vs_rest"
"3658"	"Ptpn11"	"tiling200"	"i_vs_rest"
"3659"	"Hectd4"	"tiling200"	"i_vs_rest"
"3660"	"Trafd1"	"tiling200"	"i_vs_rest"
"3661"	"Aldh2"	"tiling200"	"i_vs_rest"
"3662"	"Acad12"	"tiling200"	"i_vs_rest"
"3663"	"Acad10"	"tiling200"	"i_vs_rest"
"3664"	"Pheta1"	"tiling200"	"i_vs_rest"
"3665"	"Cux2"	"tiling200"	"i_vs_rest"
"3666"	"Myl2"	"tiling200"	"i_vs_rest"
"3667"	"Ccdc63"	"tiling200"	"i_vs_rest"
"3668"	"Hvcn1"	"tiling200"	"i_vs_rest"
"3669"	"Tctn1"	"tiling200"	"i_vs_rest"
"3670"	"Pptc7"	"tiling200"	"i_vs_rest"
"3671"	"Camkk2"	"tiling200"	"i_vs_rest"
"3672"	"Kdm2b"	"tiling200"	"i_vs_rest"
"3673"	"Morn3"	"tiling200"	"i_vs_rest"
"3674"	"Rhof"	"tiling200"	"i_vs_rest"
"3675"	"Hpd"	"tiling200"	"i_vs_rest"
"3676"	"Psmd9"	"tiling200"	"i_vs_rest"
"3677"	"Kntc1"	"tiling200"	"i_vs_rest"
"3678"	"Hcar1"	"tiling200"	"i_vs_rest"
"3679"	"Abcb9"	"tiling200"	"i_vs_rest"
"3680"	"Pitpnm2"	"tiling200"	"i_vs_rest"
"3681"	"Rilpl1"	"tiling200"	"i_vs_rest"
"3682"	"Dnah10"	"tiling200"	"i_vs_rest"
"3683"	"Zfp664"	"tiling200"	"i_vs_rest"
"3684"	"Rflna"	"tiling200"	"i_vs_rest"
"3685"	"Ncor2"	"tiling200"	"i_vs_rest"
"3686"	"Scarb1"	"tiling200"	"i_vs_rest"
"3687"	"Dhx37"	"tiling200"	"i_vs_rest"
"3688"	"Bri3bp"	"tiling200"	"i_vs_rest"
"3689"	"Aacs"	"tiling200"	"i_vs_rest"
"3690"	"Tmem132b"	"tiling200"	"i_vs_rest"
"3691"	"4933438B17Rik"	"tiling200"	"i_vs_rest"
"3692"	"Tmem132c"	"tiling200"	"i_vs_rest"
"3693"	"Glt1d1"	"tiling200"	"i_vs_rest"
"3694"	"Tmem132d"	"tiling200"	"i_vs_rest"
"3695"	"Rimbp2"	"tiling200"	"i_vs_rest"
"3696"	"Stx2"	"tiling200"	"i_vs_rest"
"3697"	"Adgrd1"	"tiling200"	"i_vs_rest"
"3698"	"Sfswap"	"tiling200"	"i_vs_rest"
"3699"	"Rabgef1"	"tiling200"	"i_vs_rest"
"3700"	"Caln1"	"tiling200"	"i_vs_rest"
"3701"	"Galnt17"	"tiling200"	"i_vs_rest"
"3702"	"Auts2"	"tiling200"	"i_vs_rest"
"3703"	"Castor2"	"tiling200"	"i_vs_rest"
"3704"	"Rcc1l"	"tiling200"	"i_vs_rest"
"3705"	"Gtf2i"	"tiling200"	"i_vs_rest"
"3706"	"Gtf2ird1"	"tiling200"	"i_vs_rest"
"3707"	"Syna"	"tiling200"	"i_vs_rest"
"3708"	"Eln"	"tiling200"	"i_vs_rest"
"3709"	"Tmem270"	"tiling200"	"i_vs_rest"
"3710"	"Cldn3"	"tiling200"	"i_vs_rest"
"3711"	"Wbscr25"	"tiling200"	"i_vs_rest"
"3712"	"Vps37d"	"tiling200"	"i_vs_rest"
"3713"	"Fzd9"	"tiling200"	"i_vs_rest"
"3714"	"Hip1"	"tiling200"	"i_vs_rest"
"3715"	"Srrm3"	"tiling200"	"i_vs_rest"
"3716"	"Ywhag"	"tiling200"	"i_vs_rest"
"3717"	"Dtx2"	"tiling200"	"i_vs_rest"
"3718"	"Lrwd1"	"tiling200"	"i_vs_rest"
"3719"	"Sh2b2"	"tiling200"	"i_vs_rest"
"3720"	"Cux1"	"tiling200"	"i_vs_rest"
"3721"	"Col26a1"	"tiling200"	"i_vs_rest"
"3722"	"Ift22"	"tiling200"	"i_vs_rest"
"3723"	"Ephb4"	"tiling200"	"i_vs_rest"
"3724"	"Zan"	"tiling200"	"i_vs_rest"
"3725"	"Epo"	"tiling200"	"i_vs_rest"
"3726"	"Tfr2"	"tiling200"	"i_vs_rest"
"3727"	"Pcolce"	"tiling200"	"i_vs_rest"
"3728"	"Ppp1r35"	"tiling200"	"i_vs_rest"
"3729"	"Mcm7"	"tiling200"	"i_vs_rest"
"3730"	"Mblac1"	"tiling200"	"i_vs_rest"
"3731"	"6330418K02Rik"	"tiling200"	"i_vs_rest"
"3732"	"Stag3"	"tiling200"	"i_vs_rest"
"3733"	"Fam20c"	"tiling200"	"i_vs_rest"
"3734"	"Pdgfa"	"tiling200"	"i_vs_rest"
"3735"	"Prkar1b"	"tiling200"	"i_vs_rest"
"3736"	"Adap1"	"tiling200"	"i_vs_rest"
"3737"	"Cox19"	"tiling200"	"i_vs_rest"
"3738"	"Zfand2a"	"tiling200"	"i_vs_rest"
"3739"	"4930500L23Rik"	"tiling200"	"i_vs_rest"
"3740"	"Uncx"	"tiling200"	"i_vs_rest"
"3741"	"Elfn1"	"tiling200"	"i_vs_rest"
"3742"	"Mad1l1"	"tiling200"	"i_vs_rest"
"3743"	"Nudt1"	"tiling200"	"i_vs_rest"
"3744"	"Snx8"	"tiling200"	"i_vs_rest"
"3745"	"Eif3b"	"tiling200"	"i_vs_rest"
"3746"	"Lfng"	"tiling200"	"i_vs_rest"
"3747"	"Ttyh3"	"tiling200"	"i_vs_rest"
"3748"	"Card11"	"tiling200"	"i_vs_rest"
"3749"	"Sdk1"	"tiling200"	"i_vs_rest"
"3750"	"Foxk1"	"tiling200"	"i_vs_rest"
"3751"	"Wipi2"	"tiling200"	"i_vs_rest"
"3752"	"Tnrc18"	"tiling200"	"i_vs_rest"
"3753"	"Fbxl18"	"tiling200"	"i_vs_rest"
"3754"	"Fscn1"	"tiling200"	"i_vs_rest"
"3755"	"Rbakdn"	"tiling200"	"i_vs_rest"
"3756"	"Zfp12"	"tiling200"	"i_vs_rest"
"3757"	"E130309D02Rik"	"tiling200"	"i_vs_rest"
"3758"	"0610040B10Rik"	"tiling200"	"i_vs_rest"
"3759"	"Daglb"	"tiling200"	"i_vs_rest"
"3760"	"Fam220a"	"tiling200"	"i_vs_rest"
"3761"	"Usp42"	"tiling200"	"i_vs_rest"
"3762"	"D130017N08Rik"	"tiling200"	"i_vs_rest"
"3763"	"Eif2ak1"	"tiling200"	"i_vs_rest"
"3764"	"Lmtk2"	"tiling200"	"i_vs_rest"
"3765"	"Bhlha15"	"tiling200"	"i_vs_rest"
"3766"	"Tecpr1"	"tiling200"	"i_vs_rest"
"3767"	"Bri3"	"tiling200"	"i_vs_rest"
"3768"	"Baiap2l1"	"tiling200"	"i_vs_rest"
"3769"	"Nptx2"	"tiling200"	"i_vs_rest"
"3770"	"Trrap"	"tiling200"	"i_vs_rest"
"3771"	"Arpc1a"	"tiling200"	"i_vs_rest"
"3772"	"Cyp3a57"	"tiling200"	"i_vs_rest"
"3773"	"Cyp3a44"	"tiling200"	"i_vs_rest"
"3774"	"Cyp3a25"	"tiling200"	"i_vs_rest"
"3775"	"Gm3402"	"tiling200"	"i_vs_rest"
"3776"	"Usp12"	"tiling200"	"i_vs_rest"
"3777"	"Rpl21"	"tiling200"	"i_vs_rest"
"3778"	"Rasl11a"	"tiling200"	"i_vs_rest"
"3779"	"Gtf3a"	"tiling200"	"i_vs_rest"
"3780"	"Lnx2"	"tiling200"	"i_vs_rest"
"3781"	"Gsx1"	"tiling200"	"i_vs_rest"
"3782"	"Urad"	"tiling200"	"i_vs_rest"
"3783"	"Flt1"	"tiling200"	"i_vs_rest"
"3784"	"Ubl3"	"tiling200"	"i_vs_rest"
"3785"	"2210417A02Rik"	"tiling200"	"i_vs_rest"
"3786"	"Katnal1"	"tiling200"	"i_vs_rest"
"3787"	"Gm15408"	"tiling200"	"i_vs_rest"
"3788"	"5730422E09Rik"	"tiling200"	"i_vs_rest"
"3789"	"Alox5ap"	"tiling200"	"i_vs_rest"
"3790"	"Medag"	"tiling200"	"i_vs_rest"
"3791"	"Hsph1"	"tiling200"	"i_vs_rest"
"3792"	"Rxfp2"	"tiling200"	"i_vs_rest"
"3793"	"Fry"	"tiling200"	"i_vs_rest"
"3794"	"N4bp2l1"	"tiling200"	"i_vs_rest"
"3795"	"Kl"	"tiling200"	"i_vs_rest"
"3796"	"Stard13"	"tiling200"	"i_vs_rest"
"3797"	"1700028E10Rik"	"tiling200"	"i_vs_rest"
"3798"	"Gm3704"	"tiling200"	"i_vs_rest"
"3799"	"Gm8579"	"tiling200"	"i_vs_rest"
"3800"	"Vps50"	"tiling200"	"i_vs_rest"
"3801"	"Col1a2"	"tiling200"	"i_vs_rest"
"3802"	"Sgce"	"tiling200"	"i_vs_rest"
"3803"	"Ppp1r9a"	"tiling200"	"i_vs_rest"
"3804"	"Dync1i1"	"tiling200"	"i_vs_rest"
"3805"	"Dlx6os1"	"tiling200"	"i_vs_rest"
"3806"	"Sdhaf3"	"tiling200"	"i_vs_rest"
"3807"	"Tac1"	"tiling200"	"i_vs_rest"
"3808"	"C1galt1"	"tiling200"	"i_vs_rest"
"3809"	"Glcci1"	"tiling200"	"i_vs_rest"
"3810"	"Nxph1"	"tiling200"	"i_vs_rest"
"3811"	"AA545190"	"tiling200"	"i_vs_rest"
"3812"	"Thsd7a"	"tiling200"	"i_vs_rest"
"3813"	"Tmem106b"	"tiling200"	"i_vs_rest"
"3814"	"1700016P04Rik"	"tiling200"	"i_vs_rest"
"3815"	"Bmt2"	"tiling200"	"i_vs_rest"
"3816"	"1110019D14Rik"	"tiling200"	"i_vs_rest"
"3817"	"Ppp1r3a"	"tiling200"	"i_vs_rest"
"3818"	"Foxp2"	"tiling200"	"i_vs_rest"
"3819"	"Tfec"	"tiling200"	"i_vs_rest"
"3820"	"Cav2"	"tiling200"	"i_vs_rest"
"3821"	"Met"	"tiling200"	"i_vs_rest"
"3822"	"St7"	"tiling200"	"i_vs_rest"
"3823"	"Cttnbp2"	"tiling200"	"i_vs_rest"
"3824"	"Ankrd7"	"tiling200"	"i_vs_rest"
"3825"	"Mir6370"	"tiling200"	"i_vs_rest"
"3826"	"Kcnd2"	"tiling200"	"i_vs_rest"
"3827"	"Cped1"	"tiling200"	"i_vs_rest"
"3828"	"Fam3c"	"tiling200"	"i_vs_rest"
"3829"	"Ptprz1"	"tiling200"	"i_vs_rest"
"3830"	"Aass"	"tiling200"	"i_vs_rest"
"3831"	"Cadps2"	"tiling200"	"i_vs_rest"
"3832"	"Tas2r118"	"tiling200"	"i_vs_rest"
"3833"	"Iqub"	"tiling200"	"i_vs_rest"
"3834"	"Hyal5"	"tiling200"	"i_vs_rest"
"3835"	"Gpr37"	"tiling200"	"i_vs_rest"
"3836"	"Gm20756"	"tiling200"	"i_vs_rest"
"3837"	"Grm8"	"tiling200"	"i_vs_rest"
"3838"	"Zfp800"	"tiling200"	"i_vs_rest"
"3839"	"Mir129-1"	"tiling200"	"i_vs_rest"
"3840"	"Rbm28"	"tiling200"	"i_vs_rest"
"3841"	"Prrt4"	"tiling200"	"i_vs_rest"
"3842"	"Hilpda"	"tiling200"	"i_vs_rest"
"3843"	"Ahcyl2"	"tiling200"	"i_vs_rest"
"3844"	"Strip2"	"tiling200"	"i_vs_rest"
"3845"	"BB283400"	"tiling200"	"i_vs_rest"
"3846"	"Mir29a"	"tiling200"	"i_vs_rest"
"3847"	"Mkln1os"	"tiling200"	"i_vs_rest"
"3848"	"Podxl"	"tiling200"	"i_vs_rest"
"3849"	"Gm13848"	"tiling200"	"i_vs_rest"
"3850"	"1700012A03Rik"	"tiling200"	"i_vs_rest"
"3851"	"Plxna4"	"tiling200"	"i_vs_rest"
"3852"	"Chchd3"	"tiling200"	"i_vs_rest"
"3853"	"Exoc4"	"tiling200"	"i_vs_rest"
"3854"	"Lrguk"	"tiling200"	"i_vs_rest"
"3855"	"Slc35b4"	"tiling200"	"i_vs_rest"
"3856"	"Akr1b8"	"tiling200"	"i_vs_rest"
"3857"	"Bpgm"	"tiling200"	"i_vs_rest"
"3858"	"Cald1"	"tiling200"	"i_vs_rest"
"3859"	"Stra8"	"tiling200"	"i_vs_rest"
"3860"	"Slc23a4"	"tiling200"	"i_vs_rest"
"3861"	"1700065J11Rik"	"tiling200"	"i_vs_rest"
"3862"	"Mtpn"	"tiling200"	"i_vs_rest"
"3863"	"Dgki"	"tiling200"	"i_vs_rest"
"3864"	"Creb3l2"	"tiling200"	"i_vs_rest"
"3865"	"Akr1d1"	"tiling200"	"i_vs_rest"
"3866"	"D630045J12Rik"	"tiling200"	"i_vs_rest"
"3867"	"Zc3hav1"	"tiling200"	"i_vs_rest"
"3868"	"Hipk2"	"tiling200"	"i_vs_rest"
"3869"	"Tbxas1"	"tiling200"	"i_vs_rest"
"3870"	"Slc37a3"	"tiling200"	"i_vs_rest"
"3871"	"Dennd2a"	"tiling200"	"i_vs_rest"
"3872"	"Braf"	"tiling200"	"i_vs_rest"
"3873"	"Tmem178b"	"tiling200"	"i_vs_rest"
"3874"	"Tas2r143"	"tiling200"	"i_vs_rest"
"3875"	"Tcaf2"	"tiling200"	"i_vs_rest"
"3876"	"Olfr449"	"tiling200"	"i_vs_rest"
"3877"	"Olfr441"	"tiling200"	"i_vs_rest"
"3878"	"Arhgef5"	"tiling200"	"i_vs_rest"
"3879"	"Tpk1"	"tiling200"	"i_vs_rest"
"3880"	"Cntnap2"	"tiling200"	"i_vs_rest"
"3881"	"Cul1"	"tiling200"	"i_vs_rest"
"3882"	"Zfp282"	"tiling200"	"i_vs_rest"
"3883"	"Zfp862-ps"	"tiling200"	"i_vs_rest"
"3884"	"Gm7932"	"tiling200"	"i_vs_rest"
"3885"	"4930563H07Rik"	"tiling200"	"i_vs_rest"
"3886"	"Tra2a"	"tiling200"	"i_vs_rest"
"3887"	"Fam221a"	"tiling200"	"i_vs_rest"
"3888"	"Mpp6"	"tiling200"	"i_vs_rest"
"3889"	"Gsdme"	"tiling200"	"i_vs_rest"
"3890"	"4921507P07Rik"	"tiling200"	"i_vs_rest"
"3891"	"Npvf"	"tiling200"	"i_vs_rest"
"3892"	"C530044C16Rik"	"tiling200"	"i_vs_rest"
"3893"	"Mir148a"	"tiling200"	"i_vs_rest"
"3894"	"Halr1"	"tiling200"	"i_vs_rest"
"3895"	"Hoxaas3"	"tiling200"	"i_vs_rest"
"3896"	"Hoxa10"	"tiling200"	"i_vs_rest"
"3897"	"Evx1os"	"tiling200"	"i_vs_rest"
"3898"	"1700094M24Rik"	"tiling200"	"i_vs_rest"
"3899"	"Tax1bp1"	"tiling200"	"i_vs_rest"
"3900"	"Jazf1"	"tiling200"	"i_vs_rest"
"3901"	"Creb5"	"tiling200"	"i_vs_rest"
"3902"	"Tril"	"tiling200"	"i_vs_rest"
"3903"	"Cpvl"	"tiling200"	"i_vs_rest"
"3904"	"4921529L05Rik"	"tiling200"	"i_vs_rest"
"3905"	"Chn2"	"tiling200"	"i_vs_rest"
"3906"	"Scrn1"	"tiling200"	"i_vs_rest"
"3907"	"Nod1"	"tiling200"	"i_vs_rest"
"3908"	"Mindy4"	"tiling200"	"i_vs_rest"
"3909"	"Adcyap1r1"	"tiling200"	"i_vs_rest"
"3910"	"Gm3279"	"tiling200"	"i_vs_rest"
"3911"	"Itprid1"	"tiling200"	"i_vs_rest"
"3912"	"Pde1c"	"tiling200"	"i_vs_rest"
"3913"	"Vmn1r7"	"tiling200"	"i_vs_rest"
"3914"	"Vmn1r9"	"tiling200"	"i_vs_rest"
"3915"	"Lancl2"	"tiling200"	"i_vs_rest"
"3916"	"Vmn1r23"	"tiling200"	"i_vs_rest"
"3917"	"Abcg2"	"tiling200"	"i_vs_rest"
"3918"	"Herc3"	"tiling200"	"i_vs_rest"
"3919"	"Gprin3"	"tiling200"	"i_vs_rest"
"3920"	"A530053G22Rik"	"tiling200"	"i_vs_rest"
"3921"	"Snca"	"tiling200"	"i_vs_rest"
"3922"	"Mmrn1"	"tiling200"	"i_vs_rest"
"3923"	"Ccser1"	"tiling200"	"i_vs_rest"
"3924"	"Grid2"	"tiling200"	"i_vs_rest"
"3925"	"Atoh1"	"tiling200"	"i_vs_rest"
"3926"	"Smarcad1"	"tiling200"	"i_vs_rest"
"3927"	"Hpgds"	"tiling200"	"i_vs_rest"
"3928"	"4930544G11Rik"	"tiling200"	"i_vs_rest"
"3929"	"Gm31520"	"tiling200"	"i_vs_rest"
"3930"	"Mad2l1"	"tiling200"	"i_vs_rest"
"3931"	"Vmn1r38"	"tiling200"	"i_vs_rest"
"3932"	"Gng12"	"tiling200"	"i_vs_rest"
"3933"	"Il12rb2"	"tiling200"	"i_vs_rest"
"3934"	"Tacstd2"	"tiling200"	"i_vs_rest"
"3935"	"4930515G16Rik"	"tiling200"	"i_vs_rest"
"3936"	"Rprl1"	"tiling200"	"i_vs_rest"
"3937"	"Rpia"	"tiling200"	"i_vs_rest"
"3938"	"Thnsl2"	"tiling200"	"i_vs_rest"
"3939"	"Chmp3"	"tiling200"	"i_vs_rest"
"3940"	"Reep1"	"tiling200"	"i_vs_rest"
"3941"	"Polr1a"	"tiling200"	"i_vs_rest"
"3942"	"Sftpb"	"tiling200"	"i_vs_rest"
"3943"	"Elmod3"	"tiling200"	"i_vs_rest"
"3944"	"Tcf7l1"	"tiling200"	"i_vs_rest"
"3945"	"1700065L07Rik"	"tiling200"	"i_vs_rest"
"3946"	"Ctnna2"	"tiling200"	"i_vs_rest"
"3947"	"Reg3g"	"tiling200"	"i_vs_rest"
"3948"	"Gm20594"	"tiling200"	"i_vs_rest"
"3949"	"Lrrtm4"	"tiling200"	"i_vs_rest"
"3950"	"Mir7232"	"tiling200"	"i_vs_rest"
"3951"	"Mrpl19"	"tiling200"	"i_vs_rest"
"3952"	"Eva1a"	"tiling200"	"i_vs_rest"
"3953"	"Hk2"	"tiling200"	"i_vs_rest"
"3954"	"2310069B03Rik"	"tiling200"	"i_vs_rest"
"3955"	"Rtkn"	"tiling200"	"i_vs_rest"
"3956"	"Dctn1"	"tiling200"	"i_vs_rest"
"3957"	"Dysf"	"tiling200"	"i_vs_rest"
"3958"	"Gm10445"	"tiling200"	"i_vs_rest"
"3959"	"Cyp26b1"	"tiling200"	"i_vs_rest"
"3960"	"Exoc6b"	"tiling200"	"i_vs_rest"
"3961"	"Emx1"	"tiling200"	"i_vs_rest"
"3962"	"Fbxo41"	"tiling200"	"i_vs_rest"
"3963"	"Tprkb"	"tiling200"	"i_vs_rest"
"3964"	"Dusp11"	"tiling200"	"i_vs_rest"
"3965"	"Tgfa"	"tiling200"	"i_vs_rest"
"3966"	"Gmcl1"	"tiling200"	"i_vs_rest"
"3967"	"Nfu1"	"tiling200"	"i_vs_rest"
"3968"	"Gfpt1"	"tiling200"	"i_vs_rest"
"3969"	"Antxr1"	"tiling200"	"i_vs_rest"
"3970"	"Gkn3"	"tiling200"	"i_vs_rest"
"3971"	"Prokr1"	"tiling200"	"i_vs_rest"
"3972"	"Aplf"	"tiling200"	"i_vs_rest"
"3973"	"Rpn1"	"tiling200"	"i_vs_rest"
"3974"	"Gata2"	"tiling200"	"i_vs_rest"
"3975"	"Eefsec"	"tiling200"	"i_vs_rest"
"3976"	"Ruvbl1"	"tiling200"	"i_vs_rest"
"3977"	"Podxl2"	"tiling200"	"i_vs_rest"
"3978"	"Vmn1r41"	"tiling200"	"i_vs_rest"
"3979"	"Vmn1r42"	"tiling200"	"i_vs_rest"
"3980"	"Vmn1r47"	"tiling200"	"i_vs_rest"
"3981"	"Klf15"	"tiling200"	"i_vs_rest"
"3982"	"Slc41a3"	"tiling200"	"i_vs_rest"
"3983"	"Iqsec1"	"tiling200"	"i_vs_rest"
"3984"	"Wnt7a"	"tiling200"	"i_vs_rest"
"3985"	"Slc6a6"	"tiling200"	"i_vs_rest"
"3986"	"Prickle2"	"tiling200"	"i_vs_rest"
"3987"	"Adamts9"	"tiling200"	"i_vs_rest"
"3988"	"9530026P05Rik"	"tiling200"	"i_vs_rest"
"3989"	"Magi1"	"tiling200"	"i_vs_rest"
"3990"	"Slc25a26"	"tiling200"	"i_vs_rest"
"3991"	"Lrig1"	"tiling200"	"i_vs_rest"
"3992"	"4930511E03Rik"	"tiling200"	"i_vs_rest"
"3993"	"Suclg2"	"tiling200"	"i_vs_rest"
"3994"	"Fam19a1"	"tiling200"	"i_vs_rest"
"3995"	"Fam19a4"	"tiling200"	"i_vs_rest"
"3996"	"Arl6ip5"	"tiling200"	"i_vs_rest"
"3997"	"Mitf"	"tiling200"	"i_vs_rest"
"3998"	"Gm765"	"tiling200"	"i_vs_rest"
"3999"	"Foxp1"	"tiling200"	"i_vs_rest"
"4000"	"Prok2"	"tiling200"	"i_vs_rest"
"4001"	"Rybp"	"tiling200"	"i_vs_rest"
"4002"	"1700049E22Rik"	"tiling200"	"i_vs_rest"
"4003"	"Gxylt2"	"tiling200"	"i_vs_rest"
"4004"	"Ppp4r2"	"tiling200"	"i_vs_rest"
"4005"	"Pdzrn3"	"tiling200"	"i_vs_rest"
"4006"	"Gm9871"	"tiling200"	"i_vs_rest"
"4007"	"Cntn3"	"tiling200"	"i_vs_rest"
"4008"	"Mir6373"	"tiling200"	"i_vs_rest"
"4009"	"Chl1"	"tiling200"	"i_vs_rest"
"4010"	"Cntn6"	"tiling200"	"i_vs_rest"
"4011"	"Crbn"	"tiling200"	"i_vs_rest"
"4012"	"Setmar"	"tiling200"	"i_vs_rest"
"4013"	"Sumf1"	"tiling200"	"i_vs_rest"
"4014"	"Itpr1"	"tiling200"	"i_vs_rest"
"4015"	"Arl8b"	"tiling200"	"i_vs_rest"
"4016"	"Edem1"	"tiling200"	"i_vs_rest"
"4017"	"Grm7"	"tiling200"	"i_vs_rest"
"4018"	"Lmcd1"	"tiling200"	"i_vs_rest"
"4019"	"Srgap3"	"tiling200"	"i_vs_rest"
"4020"	"Ttll3"	"tiling200"	"i_vs_rest"
"4021"	"Fancd2"	"tiling200"	"i_vs_rest"
"4022"	"Irak2"	"tiling200"	"i_vs_rest"
"4023"	"Atp2b2"	"tiling200"	"i_vs_rest"
"4024"	"Slc6a1"	"tiling200"	"i_vs_rest"
"4025"	"Hrh1"	"tiling200"	"i_vs_rest"
"4026"	"Atg7"	"tiling200"	"i_vs_rest"
"4027"	"Vgll4"	"tiling200"	"i_vs_rest"
"4028"	"Pparg"	"tiling200"	"i_vs_rest"
"4029"	"Tsen2"	"tiling200"	"i_vs_rest"
"4030"	"Cand2"	"tiling200"	"i_vs_rest"
"4031"	"Rho"	"tiling200"	"i_vs_rest"
"4032"	"Tmcc1"	"tiling200"	"i_vs_rest"
"4033"	"Depp1"	"tiling200"	"i_vs_rest"
"4034"	"6820426E19Rik"	"tiling200"	"i_vs_rest"
"4035"	"1700030F04Rik"	"tiling200"	"i_vs_rest"
"4036"	"Zfp637"	"tiling200"	"i_vs_rest"
"4037"	"Fxyd4"	"tiling200"	"i_vs_rest"
"4038"	"Rasgef1a"	"tiling200"	"i_vs_rest"
"4039"	"Ret"	"tiling200"	"i_vs_rest"
"4040"	"Gm30498"	"tiling200"	"i_vs_rest"
"4041"	"Bms1"	"tiling200"	"i_vs_rest"
"4042"	"Cacna1c"	"tiling200"	"i_vs_rest"
"4043"	"Dcp1b"	"tiling200"	"i_vs_rest"
"4044"	"Wnt5b"	"tiling200"	"i_vs_rest"
"4045"	"Erc1"	"tiling200"	"i_vs_rest"
"4046"	"Rad52"	"tiling200"	"i_vs_rest"
"4047"	"Kdm5a"	"tiling200"	"i_vs_rest"
"4048"	"Tmem121b"	"tiling200"	"i_vs_rest"
"4049"	"Cecr2"	"tiling200"	"i_vs_rest"
"4050"	"Bid"	"tiling200"	"i_vs_rest"
"4051"	"Mical3"	"tiling200"	"i_vs_rest"
"4052"	"Tuba8"	"tiling200"	"i_vs_rest"
"4053"	"Iqsec3"	"tiling200"	"i_vs_rest"
"4054"	"Mug2"	"tiling200"	"i_vs_rest"
"4055"	"Klrg1"	"tiling200"	"i_vs_rest"
"4056"	"Phc1"	"tiling200"	"i_vs_rest"
